name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Chris Back,43068,4493,5097,4874,2628,220,7188,1915,17833,1139,9249,2167,4932,2114,5910,374,7483
Carol Brown,1307,277,419,57,129,7,433,95,495,38,67,42,173,70,239,43,240
Jason Tuazon-McCheyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Johnston,1185,194,284,87,153,3,398,128,426,18,119,77,184,73,124,14,135
Jenni Lillis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Ryan,2451,306,467,92,140,16,510,122,573,30,173,41,236,80,190,33,110
Kado Muir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Smith,1927,335,453,172,214,14,589,192,720,35,188,70,289,122,212,37,190
Angry Anderson,497,105,185,76,44,7,250,53,342,41,116,50,106,42,165,11,173
Bob Day,8485,1762,2412,1389,1146,40,2840,1087,3316,251,1817,605,1743,825,1851,83,1555
Allan Thomas,1038,132,195,60,122,7,293,65,403,17,64,38,147,51,58,13,54
Gavin Marshall,788,312,362,226,282,5,449,227,408,11,240,146,316,232,237,5,226
John Jiggens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerrod Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claire Moore,504,73,140,8,59,2,177,31,143,11,7,13,89,32,12,4,22
Farida Iqbal,47,33,35,0,31,1,39,6,42,0,0,0,34,14,0,0,1
Jonathon Duniam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
