name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Aaron Wright,1162,137,205,18,104,2,267,54,297,13,20,22,109,34,23,19,29
Andrew Broad,4475,1949,2288,2132,1304,211,2985,1385,3146,284,2470,874,2846,1377,2166,68,1854
Andrew Leigh,450,105,131,26,72,2,186,33,172,13,27,12,102,38,33,6,29
Bridget Clinch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beth McAlpine,35,23,28,1,20,0,28,1,29,0,1,0,29,14,0,1,2
Andrew Giles,1100,104,197,74,105,1,580,64,620,4,84,39,466,56,49,4,78
Ammar Khan,575,165,158,137,85,4,256,73,406,45,260,92,162,107,179,35,282
Alex Hawke,86,35,52,3,35,1,53,9,47,0,2,1,42,16,2,3,4
Barnaby Joyce,162,42,85,7,65,0,79,16,112,4,11,7,82,25,10,0,7
Ben Buckley,700,198,226,135,153,2,254,85,364,18,118,30,234,48,110,12,110
Anthony Craig,1837,234,548,190,265,11,644,211,645,149,208,52,334,80,298,28,303
Carly Saeedi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Katter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronwyn Herbertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Willis,698,84,131,13,85,3,186,26,162,18,14,29,105,39,43,4,26
Bruce Hambour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beresford Thomas,178,63,75,29,60,0,102,0,83,2,30,14,89,24,29,1,3
Cheryl Hercus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Crewther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Cashman,220,136,153,100,127,0,175,108,178,6,100,99,146,118,109,4,104
Chris Lahy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clara Williams-Roldan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Gupta,902,170,350,415,334,59,532,122,450,74,404,134,345,86,236,11,283
Christine Sindt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Leadbetter,141,56,103,2,29,0,99,14,121,2,25,2,71,45,2,0,28
Bob Burdett,17,7,9,0,1,3,7,1,11,0,0,0,8,2,2,1,1
Bill Shorten,745,326,341,233,123,3,431,165,476,26,322,81,269,136,293,19,213
Craig Laundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Tomsett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Huxham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Katter,6,0,1,0,1,0,0,0,4,0,6,0,1,0,1,0,0
Brendan Clarke,353,52,81,8,53,0,116,7,123,3,6,6,77,24,5,7,6
Brad Trussell,82,25,32,0,23,0,36,0,54,2,0,2,35,14,0,3,3
Brett Whiteley,54,29,33,0,39,0,45,0,32,2,0,6,36,17,2,1,3
Brad Scott,2240,460,627,364,385,5,712,270,852,34,368,233,472,306,443,12,334
Brenden Ball,86,20,21,0,19,1,29,6,43,0,0,4,21,3,0,0,1
Brigid McCullough,14,7,13,0,5,0,12,0,12,1,0,0,13,1,0,0,1
Brad Kennedy,1040,441,610,360,430,6,696,309,644,30,408,186,519,260,456,19,404
Brett Locker,41,16,15,4,12,1,24,8,21,4,0,2,11,2,5,3,5
Brendan O'Connor,305,52,77,5,45,1,87,7,71,3,23,4,65,24,3,5,7
Carolyn Gleixner,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Brent Heber,70,27,33,5,25,0,41,0,34,1,5,0,33,15,5,1,2
Bron Marsh,18,6,13,0,3,0,12,0,15,0,0,0,15,0,0,0,1
Cath Blakey,7,3,7,0,0,0,7,0,7,0,0,0,7,0,0,0,0
Brian Mitchell,1331,237,305,83,102,3,409,74,371,18,86,47,172,71,68,23,78
Bruce Hicks,384,72,89,8,84,2,140,25,120,9,5,18,85,30,10,4,12
Carolyn Currie,78,43,60,2,41,1,67,21,64,1,2,1,46,18,0,3,4
Carol Vernon,312,74,115,6,60,2,183,28,147,14,3,16,91,31,9,4,27
Cathy McGowan,83,35,44,2,37,0,50,2,46,1,3,1,45,20,3,2,5
Carmel McCallum,44,31,39,0,33,0,41,0,37,1,0,0,40,16,0,1,2
Chris Gambian,45,5,6,5,1,0,43,5,42,3,6,0,6,6,4,0,6
Cheryl Kaminski,174,42,59,1,50,1,67,7,70,2,1,3,57,24,1,2,3
Carter Edwards,572,151,209,78,81,4,271,95,285,15,86,64,154,75,85,24,50
David Arbeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cathy O'Toole,77,31,39,3,26,1,41,2,51,1,2,6,44,13,1,3,5
Chris Winslow,378,63,143,4,38,1,195,13,161,6,3,4,49,24,82,4,94
Chris Jermyn,52,8,9,0,7,0,13,0,27,0,0,0,9,1,0,0,0
Catherine King,2213,802,994,804,571,34,1562,529,1414,121,1217,370,1070,608,1069,65,784
Catherine Lincoln,337,107,160,52,85,7,209,66,165,17,51,24,122,56,55,6,57
Chris Kang,901,172,220,128,80,2,366,51,389,29,242,47,191,77,101,22,115
David Colovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kunde,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris Buckingham,316,119,79,16,76,2,146,25,107,10,49,10,81,36,19,4,99
Christopher Pyne,69,28,46,0,25,1,41,6,52,1,23,1,28,13,2,0,1
Chris Hayes,841,120,186,26,83,7,241,38,242,13,18,29,125,44,25,13,52
Christian Porter,749,218,337,126,124,3,437,56,464,47,254,59,272,204,170,18,127
Chris Jenkins,986,146,293,12,81,1,309,37,306,6,15,11,150,39,98,18,95
Chris Bowen,605,114,159,18,95,1,188,38,164,9,109,26,112,54,62,5,41
Clare O'Neil,72,30,44,3,27,1,45,1,55,3,0,2,41,17,3,0,4
Carol Martin,1303,289,551,137,138,7,581,170,547,36,88,66,200,112,227,40,213
David Littleproud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Bowyer,19,8,12,1,3,0,12,1,12,0,1,0,11,1,0,2,2
Chris Vale,854,147,183,84,222,5,270,45,302,134,94,20,173,51,99,22,163
Craig Bossie,6,3,5,0,5,0,5,0,6,0,0,0,6,3,0,0,0
Claire Ogden,201,52,99,2,48,1,129,22,117,4,2,4,66,23,0,3,7
Dawn Jecks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejay Toborek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delanie Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diedree Steinwall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Vanstone,10,8,2,0,10,1,8,6,6,0,0,0,0,0,0,1,1
Duncan McGauchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Buchanan,235,75,104,9,54,3,150,29,106,9,3,2,74,40,8,3,23
Emma Jane Flowerdew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Drum,101,50,67,8,65,1,92,26,70,11,10,8,51,25,26,9,12
Craig Kelly,2248,280,600,243,295,3,717,226,546,158,256,43,367,106,338,17,323
Damian Carey,168,45,86,1,44,1,90,19,102,4,0,3,59,17,1,8,4
Freya Ostapovitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gai Brodtmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Tehan,2,0,2,0,0,0,2,1,2,0,0,0,1,0,1,0,0
Damian Woods,258,56,165,9,52,1,176,30,196,13,10,13,85,27,87,10,92
Daniel Kirk,1262,285,333,158,366,21,637,80,611,32,386,240,476,325,359,16,210
Daniel Lindley,76,28,47,0,26,0,46,3,39,2,2,0,42,15,1,3,4
Daniel Kwon,233,61,73,35,59,15,116,8,85,7,46,24,90,41,41,5,49
Daniel Sova,102,84,94,86,40,2,98,64,97,16,88,58,95,72,82,1,46
David Feeney,174,43,79,1,42,0,96,13,87,2,6,19,75,19,8,4,7
David Ewings,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Daryl Lang,223,70,80,15,59,2,111,14,101,14,18,24,72,41,27,3,26
Daniel Smith,5196,767,1193,544,549,35,1671,447,1693,160,939,270,835,476,818,79,627
David Compton,257,80,107,14,52,1,128,15,86,9,33,4,69,43,38,6,17
David Mailler,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
David Atkins,556,95,121,9,70,2,189,15,148,6,19,24,98,26,23,5,20
David Gillespie,354,81,133,13,59,6,164,35,164,5,15,21,90,29,16,8,20
David van Gogh,111,22,44,13,4,1,28,6,37,6,8,5,12,7,14,1,38
Darren Chester,257,45,94,1,40,0,114,16,102,4,1,8,71,23,0,4,7
Dean O'Callaghan,86,18,23,1,13,0,22,1,21,1,1,1,22,7,1,1,2
Dianne Colbert,48,33,41,7,30,0,37,3,42,1,7,2,41,16,6,3,5
Darryl Allen,1017,109,155,8,69,4,153,35,210,8,8,11,88,22,36,5,20
Emma Husar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des Soares,247,58,118,5,43,1,110,20,121,1,20,17,72,20,19,0,5
Hannah Rubenach-Quinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Walker,1069,276,387,111,124,4,387,67,392,22,111,62,232,82,220,10,185
Des Hardman,36,18,17,0,9,1,25,6,19,1,0,3,16,1,0,1,8
Donna Lancaster,241,67,133,5,68,1,142,26,127,7,1,12,92,28,5,4,10
Dennis Jensen,473,77,106,15,74,1,183,28,164,9,12,24,97,32,11,6,23
Eric Kerr,415,74,104,7,83,1,143,23,124,5,7,16,82,29,13,12,11
Emma McBride,207,50,55,2,36,1,65,10,69,1,2,5,44,17,16,4,5
Ewen Jones,49,25,33,8,21,1,33,7,34,4,9,2,32,15,8,0,4
Eliza James,234,76,92,28,53,4,117,24,100,19,29,13,73,34,28,5,29
Emma Heyde,20,18,18,0,18,0,18,0,19,0,0,0,19,13,0,0,1
David Kingston,1659,262,497,208,242,6,653,145,755,61,403,80,424,137,229,30,161
Ed Husic,10,3,3,0,0,0,4,0,3,0,0,0,2,0,0,0,0
Hovig Melkonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiona Phillips,60,24,23,2,14,2,34,10,27,0,1,0,24,3,6,2,4
Fiona Scott,218,94,98,64,59,2,103,68,107,16,63,39,87,51,72,2,54
Ian Christoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Hughes,410,75,133,12,70,3,184,38,161,15,10,29,104,35,20,11,16
Fernando Alba,1161,208,269,220,250,6,430,102,362,59,501,80,345,85,446,52,184
David Mulholland,292,49,126,5,55,3,166,12,147,5,1,6,50,26,108,2,80
Jai Heward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gayle Murphy,221,65,68,2,47,1,96,9,138,5,4,5,61,26,10,11,8
David Kerrigan,189,24,109,0,16,1,115,1,141,0,1,0,34,9,77,0,78
Gary Wheatcroft,4,1,3,2,1,0,4,2,2,0,0,0,2,2,2,1,1
Fiona Ward,72,23,44,6,19,1,50,14,47,2,6,3,24,7,6,3,7
David Coleman,1500,251,314,118,139,21,469,123,562,65,174,76,282,139,141,25,234
Geoff Doecke,13,5,10,0,2,0,10,0,10,0,0,0,10,0,0,0,0
Jane Bange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Gilbert,748,131,260,50,125,8,340,59,361,18,47,32,137,53,133,15,128
Eric Hutchinson,253,68,68,17,57,1,116,18,110,8,8,17,109,24,8,5,16
Don Modarelli,6,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0
Elissa Sutherland,17,5,9,0,3,0,11,0,8,0,0,1,9,1,0,1,1
George Christensen,564,83,158,28,83,1,187,34,220,15,39,23,117,41,32,7,43
Jason Falinski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garry Spencer,239,56,107,3,54,1,142,30,127,6,2,14,76,25,2,4,12
George Souris,8,3,4,1,1,1,6,1,4,0,1,0,2,1,2,0,2
